code,label,sources,files
G28,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V40038.htm|~V4003b.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40630.htm|~V40637.htm
G2y,,PatientData,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V40038.htm|~V4003b.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40630.htm|~V40637.htm
G2z,,PatientData,~V0.htm|~V40018.htm|~V4001a.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V40038.htm|~V4003b.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V40630.htm|~V40637.htm
G2z..00,Hypertensive disease NOS,DialogAdd,~V40017.htm|~V40018.htm|~V4001a.htm
G3...00,Ischaemic heart disease,DialogAdd|PatientData,~V4001a.htm
G30,,PatientData,~V4003e.htm|~V40638.htm
G301z00,Anterior myocardial infarction NOS,DialogAdd|PatientData,~V40015.htm|~V40018.htm
G304,,PatientData,~V40015.htm
G304.00,Posterior myocardial infarction NOS,DialogAdd,~V40018.htm
G305,,PatientData,~V40015.htm
G305.00,Lateral myocardial infarction NOS,DialogAdd,~V40018.htm
G307,,PatientData,~V40015.htm
G307.00,Acute subendocardial infarction,DialogAdd,~V40018.htm
G307100,,PatientData,~V40015.htm
G308,,PatientData,~V40015.htm
G308.00,Inferior myocardial infarction NOS,DialogAdd,~V40018.htm
G30X000,,PatientData,~V40015.htm
G30z,,PatientData,~V40015.htm
G30z.00,Acute myocardial infarction,DialogAdd|PatientData,~V40018.htm|~V4001a.htm
G311500,Acute Coronary Syndrome,DialogAdd|PatientData,~V40015.htm|~V40018.htm|~V4001a.htm
G33..00,Angina Pectoris,DialogAdd|PatientData,~V40015.htm|~V40018.htm|~V4001a.htm
G35,,PatientData,~V4003e.htm|~V40638.htm
G38,,PatientData,~V4003e.htm|~V40638.htm
G3z..00,Ischaemic heart disease NOS,DialogAdd|PatientData,~V4001a.htm
G541.00,Aortic valve disorders,DialogAdd|PatientData,~V4001a.htm
G541z00,Aortic valve disorders NOS,DialogAdd|PatientData,~V4001a.htm
G55,,PatientData,~V4001a.htm
G551.00,Hypertrophic obstructive cardiomyopathy,DialogAdd,~V4001a.htm
G552.00,Obscure African cardiomyopathy,DialogAdd,~V4001a.htm
G554.00,Other primary cardiomyopathies,DialogAdd,~V4001a.htm
G554400,Primary dialted cardiomyopathy,DialogAdd,~V4001a.htm
G554z00,Other primary cardiomyopathy NOS,DialogAdd,~V4001a.htm
G555.00,Alcoholic cardiomyopathy,DialogAdd,~V4001a.htm
G556.00,Cardiomyopathy in Chagas' disease,DialogAdd,~V4001a.htm
G557.00,Nutritional and metabolic cardiomyopathies,DialogAdd,~V4001a.htm
G557000,Amyloid heart disease,DialogAdd,~V4001a.htm
G557100,Beriberi heart disease,DialogAdd,~V4001a.htm
G557200,Cardiac glycogenosis,DialogAdd,~V4001a.htm
G557400,Mucopolysaccharidosis cardiomyopathy,DialogAdd,~V4001a.htm
G558.00,Cardiomyopathy in disease EC,DialogAdd,~V4001a.htm
G558000,Cardiomyopathy in Friedreich's ataxia,DialogAdd,~V4001a.htm
G558100,Cardiomyopathy in myotonic dystrophy,DialogAdd,~V4001a.htm
